Category,La Paz
Total_doses_administered,15071
Total_people_one_dose,8106
Total_people_complete,7072
total_pouluation,8106
Male-65 years and older,2245
Male-55-64 years,581
Male-45-54 years,301
Male-20-44 years,601
Male-Less than 20 years,244
Female-65 years and older,2294
Female-55-64 years,682
Female-45-54 years,355
Female-20-44 years,537
Female-Less than 20 years,250
"Black or African American, non-Hispanic",32
"Asian or Pacific Islander, non-Hispanic",85
"American Indian or Alaska Native, non-Hispanic",364
Hispanic or Latino,1168
Other Race,1173
Unknown,1877
"White, non-Hispanic",3407
