Category,Santa Cruz
Total_doses_administered,84956
Total_people_one_dose,45853
Total_people_complete,41242
total_pouluation,45853
Male-65 years and older,4371
Male-55-64 years,3027
Male-45-54 years,3140
Male-20-44 years,8435
Male-Less than 20 years,3219
Female-65 years and older,5272
Female-55-64 years,3278
Female-45-54 years,3333
Female-20-44 years,8386
Female-Less than 20 years,3338
"Black or African American, non-Hispanic",46
"American Indian or Alaska Native, non-Hispanic",47
"Asian or Pacific Islander, non-Hispanic",167
Unknown,2876
Other Race,3123
"White, non-Hispanic",6697
Hispanic or Latino,32897
