Category,Arizona
Total_doses_administered,8142524
Total_people_complete,363867
total_pouluation,7189020
Total_people_one_dose,4232611
Male-65 years and older,529443
Male-55-64 years,310303
Male-45-54 years,279571
Male-20-44 years,685251
Male-Less than 20 years,188201
Female-65 years and older,650135
Female-55-64 years,354312
Female-45-54 years,302606
Female-20-44 years,716626
Female-Less than 20 years,196634
"Black or African American, non-Hispanic",120001
"Asian or Pacific Islander, non-Hispanic",153531
"American Indian or Alaska Native, non-Hispanic",159201
Unknown,468543
Other Race,681551
Hispanic or Latino,749361
"White, non-Hispanic",1900423
