Category,Navajo
Total_doses_administered,81178
Total_people_one_dose,43575
Total_people_complete,35966
total_pouluation,43575
Male-65 years and older,6854
Male-55-64 years,3354
Male-45-54 years,2457
Male-20-44 years,5272
Male-Less than 20 years,3162
Female-65 years and older,7755
Female-55-64 years,3818
Female-45-54 years,2447
Female-20-44 years,5087
Female-Less than 20 years,3335
"Black or African American, non-Hispanic",182
"Asian or Pacific Islander, non-Hispanic",355
Hispanic or Latino,2229
Unknown,2594
Other Race,7878
"White, non-Hispanic",13531
"American Indian or Alaska Native, non-Hispanic",16806
