Category,Yavapai
Total_doses_administered,201162
Total_people_one_dose,109162
Total_people_complete,92092
total_pouluation,109162
Male-65 years and older,24003
Male-55-64 years,8715
Male-45-54 years,4757
Male-20-44 years,9473
Male-Less than 20 years,2221
Female-65 years and older,29913
Female-55-64 years,11114
Female-45-54 years,5658
Female-20-44 years,9629
Female-Less than 20 years,2531
"Black or African American, non-Hispanic",483
"American Indian or Alaska Native, non-Hispanic",1222
"Asian or Pacific Islander, non-Hispanic",1233
Hispanic or Latino,7214
Other Race,17053
Unknown,25005
"White, non-Hispanic",56952
