Category,Cochise
Total_doses_administered,130424
Total_people_one_dose,70994
Total_people_complete,62129
total_pouluation,70994
Male-65 years and older,10417
Male-55-64 years,5059
Male-45-54 years,3892
Male-20-44 years,10566
Male-Less than 20 years,3350
Female-65 years and older,12429
Female-55-64 years,6152
Female-45-54 years,4418
Female-20-44 years,11110
Female-Less than 20 years,3507
"American Indian or Alaska Native, non-Hispanic",306
"Asian or Pacific Islander, non-Hispanic",1327
"Black or African American, non-Hispanic",1355
Unknown,9537
Other Race,11480
Hispanic or Latino,17685
"White, non-Hispanic",29304
