Category,Coconino
Total_doses_administered,167267
Total_people_one_dose,86519
Total_people_complete,77350
total_pouluation,86519
Male-65 years and older,8914
Male-55-64 years,6043
Male-45-54 years,5505
Male-20-44 years,16135
Male-Less than 20 years,4162
Female-65 years and older,10124
Female-55-64 years,6845
Female-45-54 years,5656
Female-20-44 years,18411
Female-Less than 20 years,4468
"Black or African American, non-Hispanic",659
"Asian or Pacific Islander, non-Hispanic",1389
Hispanic or Latino,6236
Other Race,10540
Unknown,15332
"American Indian or Alaska Native, non-Hispanic",18856
"White, non-Hispanic",33507
