Category,Apache
Total_doses_administered,33903
Total_people_one_dose,19001
Total_people_complete,12616
Total_doses_ordered,16800
total_pouluation,71808
Male-65 years and older,1981
Male-55-64 years,1319
Male-45-54 years,1048
Male-20-44 years,2554
Male-Less than 20 years,2538
Female-65 years and older,2087
Female-55-64 years,1450
Female-45-54 years,1050
Female-20-44 years,2343
Female-Less than 20 years,2621
"Asian or Pacific Islander, non-Hispanic",171
"Black or African American, non-Hispanic",290
Unknown,1021
Other Race,1294
Hispanic or Latino,1894
"White, non-Hispanic",3328
"American Indian or Alaska Native, non-Hispanic",11003
