Category,Gila
Total_doses_administered,54554
Total_people_one_dose,29834
Total_people_complete,26411
Total_doses_ordered,37560
total_pouluation,55159
Male-65 years and older,5953
Male-55-64 years,2670
Male-45-54 years,1652
Male-20-44 years,3307
Male-Less than 20 years,792
Female-65 years and older,6314
Female-55-64 years,2974
Female-45-54 years,1748
Female-20-44 years,3430
Female-Less than 20 years,932
"Black or African American, non-Hispanic",100
"Asian or Pacific Islander, non-Hispanic",261
Hispanic or Latino,1371
Other Race,4963
Unknown,5476
"American Indian or Alaska Native, non-Hispanic",6071
"White, non-Hispanic",11592
