Category,Santa Cruz
Total_doses_administered,71988
Total_people_one_dose,40243
Total_people_complete,36066
Total_doses_ordered,49312
total_pouluation,53161
Male-65 years and older,3639
Male-55-64 years,2662
Male-45-54 years,3111
Male-20-44 years,7972
Male-Less than 20 years,2675
Female-65 years and older,4416
Female-55-64 years,2691
Female-45-54 years,2961
Female-20-44 years,7361
Female-Less than 20 years,2685
"American Indian or Alaska Native, non-Hispanic",18
"Black or African American, non-Hispanic",35
"Asian or Pacific Islander, non-Hispanic",99
Other Race,2057
Unknown,2361
"White, non-Hispanic",4883
Hispanic or Latino,30790
