Category,Coconino
Total_doses_administered,153597
Total_people_one_dose,84269
Total_people_complete,75726
Total_doses_ordered,97548
total_pouluation,147275
Male-65 years and older,7877
Male-55-64 years,6104
Male-45-54 years,5523
Male-20-44 years,16770
Male-Less than 20 years,3289
Female-65 years and older,8955
Female-55-64 years,6825
Female-45-54 years,5625
Female-20-44 years,19222
Female-Less than 20 years,3993
"Black or African American, non-Hispanic",628
"Asian or Pacific Islander, non-Hispanic",1281
Hispanic or Latino,6072
Other Race,9790
Unknown,16980
"American Indian or Alaska Native, non-Hispanic",17619
"White, non-Hispanic",31899
