Category,Mohave
Total_doses_administered,159929
Total_people_one_dose,91683
Total_people_complete,76044
Total_doses_ordered,133190
total_pouluation,216985
Male-65 years and older,21877
Male-55-64 years,8618
Male-45-54 years,4471
Male-20-44 years,7520
Male-Less than 20 years,1377
Female-65 years and older,24397
Female-55-64 years,10014
Female-45-54 years,4758
Female-20-44 years,7005
Female-Less than 20 years,1487
"Black or African American, non-Hispanic",649
"American Indian or Alaska Native, non-Hispanic",958
"Asian or Pacific Islander, non-Hispanic",1325
Hispanic or Latino,6626
Unknown,15350
Other Race,16170
"White, non-Hispanic",50605
