Category,Cochise
Total_doses_administered,123724
Total_people_one_dose,69420
Total_people_complete,61066
Total_doses_ordered,90990
total_pouluation,130808
Male-65 years and older,10841
Male-55-64 years,5247
Male-45-54 years,3860
Male-20-44 years,10022
Male-Less than 20 years,2837
Female-65 years and older,12837
Female-55-64 years,6325
Female-45-54 years,4414
Female-20-44 years,10050
Female-Less than 20 years,2895
"American Indian or Alaska Native, non-Hispanic",333
"Black or African American, non-Hispanic",1319
"Asian or Pacific Islander, non-Hispanic",1325
Unknown,9315
Other Race,10556
Hispanic or Latino,16925
"White, non-Hispanic",29647
