Category,Pinal
Total_doses_administered,325869
Total_people_one_dose,186588
Total_people_complete,165160
Total_doses_ordered,199932
total_pouluation,455210
Male-65 years and older,30257
Male-55-64 years,14123
Male-45-54 years,13253
Male-20-44 years,31527
Male-Less than 20 years,6237
Female-65 years and older,34700
Female-55-64 years,15010
Female-45-54 years,11872
Female-20-44 years,22862
Female-Less than 20 years,6153
"Asian or Pacific Islander, non-Hispanic",3340
"Black or African American, non-Hispanic",5387
"American Indian or Alaska Native, non-Hispanic",8941
Other Race,20086
Hispanic or Latino,29841
Unknown,37653
"White, non-Hispanic",81340
