Category,Maricopa
Total_doses_administered,3169910
Total_people_one_dose,1805085
Total_people_complete,1563234
Total_doses_ordered,1659789
total_pouluation,4367835
Male-65 years and older,185106
Male-55-64 years,130425
Male-45-54 years,130855
Male-20-44 years,306760
Male-Less than 20 years,85661
Female-65 years and older,239475
Female-55-64 years,150126
Female-45-54 years,144563
Female-20-44 years,332329
Female-Less than 20 years,87951
"American Indian or Alaska Native, non-Hispanic",38329
"Black or African American, non-Hispanic",70202
"Asian or Pacific Islander, non-Hispanic",83239
Unknown,176269
Other Race,277693
Hispanic or Latino,333584
"White, non-Hispanic",825769
