Category,Yavapai
Total_doses_administered,194583
Total_people_one_dose,111325
Total_people_complete,93396
Total_doses_ordered,172400
total_pouluation,232386
Male-65 years and older,24253
Male-55-64 years,8680
Male-45-54 years,5093
Male-20-44 years,9991
Male-Less than 20 years,2159
Female-65 years and older,30265
Female-55-64 years,11095
Female-45-54 years,5937
Female-20-44 years,10134
Female-Less than 20 years,2405
"Black or African American, non-Hispanic",614
"American Indian or Alaska Native, non-Hispanic",1134
"Asian or Pacific Islander, non-Hispanic",1458
Hispanic or Latino,7115
Other Race,17130
Unknown,27527
"White, non-Hispanic",56347
