,ARIZONA,STATE_PODS,APACHE,COCHISE,COCONINO,GILA,GRAHAM,GREENLEE,LA_PAZ,MARICOPA,MOHAVE,NAVAJO,PIMA,PINAL,SANTA_CRUZ,YAVAPAI,YUMA
Total_doses_administered,,1074008,13618,63289,100975,34048,12045,7240,11610,1361403,75508,35412,509612,158730,29880,121575,101197
Total_people_one_dose,2371894,697932,8031,40674,59797,20588,7462,4161,7478,859058,50934,22646,330790,99218,19445,75994,68023
Total_people_complete,1492995,,,,,,,,,,,,,,,,
Total_doses_ordered,3629070,,,,,,,,,,,,,,,,
65 years and older,534392,,,,,,,,,,,,,,,,
55-64 years,251671,,,,,,,,,,,,,,,,
45-54 years,161839,,,,,,,,,,,,,,,,
20-44 years,335218,,,,,,,,,,,,,,,,
Less than 20 years,29024,,,,,,,,,,,,,,,,
65 years and older,330790,,,,,,,,,,,,,,,,
55-64 years,203383,,,,,,,,,,,,,,,,
45-54 years,130730,,,,,,,,,,,,,,,,
20-44 years,267837,,,,,,,,,,,,,,,,
Less than 20 years,23494,,,,,,,,,,,,,,,,
"Black or African American, non-Hispanic",47335,,,,,,,,,,,,,,,,
"American Indian or Alaska Native, non-Hispanic",59439,,,,,,,,,,,,,,,,
"Asian or Pacific Islander, non-Hispanic",79316,,,,,,,,,,,,,,,,
Hispanic or Latino,260191,,,,,,,,,,,,,,,,
"Unknown, non-Hispanic",334017,,,,,,,,,,,,,,,,
"Other Race, non-Hispanic",424302,,,,,,,,,,,,,,,,
"White, non-Hispanic",1167544,,,,,,,,,,,,,,,,
