Category,Yuma
Total_doses_administered,250732
Total_people_one_dose,135522
Total_people_complete,117585
total_pouluation,135522
Male-65 years and older,14647
Male-55-64 years,9561
Male-45-54 years,8545
Male-20-44 years,25196
Male-Less than 20 years,7851
Female-65 years and older,17172
Female-55-64 years,10245
Female-45-54 years,9447
Female-20-44 years,24012
Female-Less than 20 years,8397
"Black or African American, non-Hispanic",680
"American Indian or Alaska Native, non-Hispanic",1031
"Asian or Pacific Islander, non-Hispanic",1038
Other Race,14942
"White, non-Hispanic",27764
Unknown,30038
Hispanic or Latino,60029
