Category,Apache
Total_doses_administered,36325
Total_people_one_dose,20267
Total_people_complete,12883
total_pouluation,20267
Male-65 years and older,2129
Male-55-64 years,1455
Male-45-54 years,1107
Male-20-44 years,2640
Male-Less than 20 years,2674
Female-65 years and older,2457
Female-55-64 years,1522
Female-45-54 years,1095
Female-20-44 years,2434
Female-Less than 20 years,2746
"Black or African American, non-Hispanic",48
"Asian or Pacific Islander, non-Hispanic",108
Hispanic or Latino,467
Unknown,1172
Other Race,1232
"White, non-Hispanic",3192
"American Indian or Alaska Native, non-Hispanic",14048
