Category,Mohave
Total_doses_administered,151105
Total_people_one_dose,82857
Total_people_complete,70322
total_pouluation,82857
Male-65 years and older,19101
Male-55-64 years,7712
Male-45-54 years,3975
Male-20-44 years,6794
Male-Less than 20 years,1424
Female-65 years and older,21602
Female-55-64 years,9089
Female-45-54 years,4498
Female-20-44 years,6895
Female-Less than 20 years,1598
"Black or African American, non-Hispanic",515
"American Indian or Alaska Native, non-Hispanic",599
"Asian or Pacific Islander, non-Hispanic",1184
Hispanic or Latino,6332
Unknown,12860
Other Race,14947
"White, non-Hispanic",46420
