Category,Maricopa
Total_doses_administered,4722777
Total_people_one_dose,2442204
Total_people_complete,2165567
total_pouluation,2442204
Male-65 years and older,271923
Male-55-64 years,179816
Male-45-54 years,173100
Male-20-44 years,408141
Male-Less than 20 years,109877
Female-65 years and older,341128
Female-55-64 years,203277
Female-45-54 years,188694
Female-20-44 years,437727
Female-Less than 20 years,114125
"American Indian or Alaska Native, non-Hispanic",44802
"Black or African American, non-Hispanic",88371
"Asian or Pacific Islander, non-Hispanic",116983
Unknown,183509
Hispanic or Latino,391866
Other Race,447179
"White, non-Hispanic",1169494
