Category,Navajo
Total_doses_administered,79687
Total_people_one_dose,43017
Total_people_complete,35999
total_pouluation,43017
Male-65 years and older,6788
Male-55-64 years,3317
Male-45-54 years,2413
Male-20-44 years,5200
Male-Less than 20 years,3123
Female-65 years and older,7657
Female-55-64 years,3780
Female-45-54 years,2419
Female-20-44 years,4988
Female-Less than 20 years,3299
"Black or African American, non-Hispanic",181
"Asian or Pacific Islander, non-Hispanic",353
Hispanic or Latino,2197
Unknown,2393
Other Race,7887
"White, non-Hispanic",13425
"American Indian or Alaska Native, non-Hispanic",16581
