Category,Navajo
Total_doses_administered,85527
Total_people_one_dose,44411
Total_people_complete,38496
total_pouluation,44411
Male-65 years and older,6983
Male-55-64 years,3409
Male-45-54 years,2501
Male-20-44 years,5366
Male-Less than 20 years,3237
Female-65 years and older,7886
Female-55-64 years,3891
Female-45-54 years,2510
Female-20-44 years,5199
Female-Less than 20 years,3394
"Black or African American, non-Hispanic",186
"Asian or Pacific Islander, non-Hispanic",359
Hispanic or Latino,2276
Unknown,2687
Other Race,7713
"White, non-Hispanic",13953
"American Indian or Alaska Native, non-Hispanic",17237
