Category,Yuma
Total_doses_administered,265382
Total_people_one_dose,139255
Total_people_complete,122199
total_pouluation,139255
Male-65 years and older,15029
Male-55-64 years,9804
Male-45-54 years,8750
Male-20-44 years,26216
Male-Less than 20 years,8141
Female-65 years and older,17497
Female-55-64 years,10431
Female-45-54 years,9587
Female-20-44 years,24615
Female-Less than 20 years,8672
"Black or African American, non-Hispanic",700
"American Indian or Alaska Native, non-Hispanic",1059
"Asian or Pacific Islander, non-Hispanic",1060
Other Race,15623
"White, non-Hispanic",28700
Unknown,30309
Hispanic or Latino,61804
