Category,value
Hospitalizations,80998
Day,
Day_pct,
Apache,1109
Cochise,919
Coconino,1681
Gila,866
Graham,414
Greenlee,58
La Paz,314
Maricopa,50991
Mohave,2706
Navajo,2101
Pima,8814
Pinal,5382
Santa Cruz,623
Yavapai,2486
Yuma,2534
0_5,
Less than 20 years,3036
20-44 years,17269
45-54 years,11485
55-64 years,14870
65 years and older,34296
Male,42497
Female,38459
Missing,
"White, non-Hispanic",38882
Hispanic or Latino,25410
"American Indian or Alaska Native, non-Hispanic",5778
"Black or African American, non-Hispanic",3999
"Asian or Pacific Islander, non-Hispanic",1353
Other Race,3504
