Category,Graham
Total_doses_administered,38805
Total_people_one_dose,19816
Total_people_complete,17939
total_pouluation,19816
Male-65 years and older,2338
Male-55-64 years,1541
Male-45-54 years,1398
Male-20-44 years,3423
Male-Less than 20 years,851
Female-65 years and older,2824
Female-55-64 years,1682
Female-45-54 years,1361
Female-20-44 years,3433
Female-Less than 20 years,953
"Black or African American, non-Hispanic",83
"Asian or Pacific Islander, non-Hispanic",89
Other Race,1522
Hispanic or Latino,3477
Unknown,4202
"American Indian or Alaska Native, non-Hispanic",4752
"White, non-Hispanic",5691
