Category,Cochise
Total_doses_administered,136861
Total_people_one_dose,72141
Total_people_complete,64257
total_pouluation,72141
Male-65 years and older,10600
Male-55-64 years,5139
Male-45-54 years,3988
Male-20-44 years,10802
Male-Less than 20 years,3391
Female-65 years and older,12594
Female-55-64 years,6206
Female-45-54 years,4492
Female-20-44 years,11287
Female-Less than 20 years,3548
"American Indian or Alaska Native, non-Hispanic",312
"Asian or Pacific Islander, non-Hispanic",1345
"Black or African American, non-Hispanic",1389
Unknown,9617
Other Race,11498
Hispanic or Latino,18015
"White, non-Hispanic",29965
