Category,Gila
Total_doses_administered,48820
Total_people_one_dose,24889
Total_people_complete,22351
total_pouluation,24889
Male-65 years and older,5603
Male-55-64 years,2177
Male-45-54 years,1219
Male-20-44 years,2300
Male-Less than 20 years,569
Female-65 years and older,6033
Female-55-64 years,2522
Female-45-54 years,1364
Female-20-44 years,2407
Female-Less than 20 years,637
"Black or African American, non-Hispanic",78
"Asian or Pacific Islander, non-Hispanic",200
Hispanic or Latino,1343
"American Indian or Alaska Native, non-Hispanic",2397
Other Race,4420
Unknown,5075
"White, non-Hispanic",11376
