Category,Maricopa
Total_doses_administered,4952748
Total_people_one_dose,2487504
Total_people_complete,2241737
total_pouluation,2487504
Male-65 years and older,276464
Male-55-64 years,182369
Male-45-54 years,176251
Male-20-44 years,418041
Male-Less than 20 years,112198
Female-65 years and older,346170
Female-55-64 years,205716
Female-45-54 years,191749
Female-20-44 years,447892
Female-Less than 20 years,116236
"American Indian or Alaska Native, non-Hispanic",45813
"Black or African American, non-Hispanic",90286
"Asian or Pacific Islander, non-Hispanic",118320
Unknown,195747
Hispanic or Latino,403066
Other Race,446887
"White, non-Hispanic",1187385
