Category,Yavapai
Total_doses_administered,211775
Total_people_one_dose,110676
Total_people_complete,95029
total_pouluation,110676
Male-65 years and older,24511
Male-55-64 years,8776
Male-45-54 years,4806
Male-20-44 years,9630
Male-Less than 20 years,2242
Female-65 years and older,30327
Female-55-64 years,11187
Female-45-54 years,5726
Female-20-44 years,9775
Female-Less than 20 years,2548
"Black or African American, non-Hispanic",492
"American Indian or Alaska Native, non-Hispanic",1240
"Asian or Pacific Islander, non-Hispanic",1254
Hispanic or Latino,7365
Other Race,17210
Unknown,24367
"White, non-Hispanic",58748
