Category,Santa Cruz
Total_doses_administered,90773
Total_people_one_dose,47689
Total_people_complete,42745
total_pouluation,47689
Male-65 years and older,4426
Male-55-64 years,3056
Male-45-54 years,3197
Male-20-44 years,8542
Male-Less than 20 years,3752
Female-65 years and older,5317
Female-55-64 years,3307
Female-45-54 years,3380
Female-20-44 years,8529
Female-Less than 20 years,4118
"American Indian or Alaska Native, non-Hispanic",48
"Black or African American, non-Hispanic",51
"Asian or Pacific Islander, non-Hispanic",172
Unknown,2922
Other Race,3154
"White, non-Hispanic",6792
Hispanic or Latino,34550
