Category,Apache
Total_doses_administered,39815
Total_people_one_dose,21823
Total_people_complete,16798
total_pouluation,21823
Male-65 years and older,2317
Male-55-64 years,1593
Male-45-54 years,1208
Male-20-44 years,2856
Male-Less than 20 years,2714
Female-65 years and older,2724
Female-55-64 years,1717
Female-45-54 years,1227
Female-20-44 years,2671
Female-Less than 20 years,2788
"Black or African American, non-Hispanic",48
"Asian or Pacific Islander, non-Hispanic",111
Hispanic or Latino,494
Other Race,1247
Unknown,1504
"White, non-Hispanic",3271
"American Indian or Alaska Native, non-Hispanic",15148
