Category,Mohave
Total_doses_administered,161266
Total_people_one_dose,84792
Total_people_complete,73332
total_pouluation,84792
Male-65 years and older,19641
Male-55-64 years,7839
Male-45-54 years,4050
Male-20-44 years,7014
Male-Less than 20 years,1458
Female-65 years and older,22083
Female-55-64 years,9200
Female-45-54 years,4595
Female-20-44 years,7081
Female-Less than 20 years,1658
"Black or African American, non-Hispanic",531
"American Indian or Alaska Native, non-Hispanic",643
"Asian or Pacific Islander, non-Hispanic",1204
Hispanic or Latino,6526
Unknown,13263
Other Race,15002
"White, non-Hispanic",47623
