Category,La Paz
Total_doses_administered,15635
Total_people_one_dose,8228
Total_people_complete,7255
total_pouluation,8228
Male-65 years and older,2271
Male-55-64 years,587
Male-45-54 years,304
Male-20-44 years,622
Male-Less than 20 years,253
Female-65 years and older,2319
Female-55-64 years,688
Female-45-54 years,357
Female-20-44 years,549
Female-Less than 20 years,261
"Black or African American, non-Hispanic",32
"Asian or Pacific Islander, non-Hispanic",85
"American Indian or Alaska Native, non-Hispanic",381
Other Race,1175
Hispanic or Latino,1190
Unknown,1896
"White, non-Hispanic",3469
