Category,Gila
Total_doses_administered,56132
Total_people_one_dose,30459
Total_people_complete,27119
Total_doses_ordered,38260
total_pouluation,55159
Male-65 years and older,6025
Male-55-64 years,2697
Male-45-54 years,1696
Male-20-44 years,3411
Male-Less than 20 years,859
Female-65 years and older,6380
Female-55-64 years,3013
Female-45-54 years,1783
Female-20-44 years,3559
Female-Less than 20 years,974
"Black or African American, non-Hispanic",101
"Asian or Pacific Islander, non-Hispanic",261
Hispanic or Latino,1417
Other Race,5026
Unknown,5566
"American Indian or Alaska Native, non-Hispanic",6255
"White, non-Hispanic",11833
