Category,Yuma
Total_doses_administered,230577
Total_people_one_dose,129337
Total_people_complete,110194
Total_doses_ordered,153008
total_pouluation,229957
Male-65 years and older,16308
Male-55-64 years,9170
Male-45-54 years,8198
Male-20-44 years,24656
Male-Less than 20 years,6289
Female-65 years and older,18421
Female-55-64 years,9612
Female-45-54 years,8426
Female-20-44 years,21192
Female-Less than 20 years,6646
"Asian or Pacific Islander, non-Hispanic",787
"Black or African American, non-Hispanic",789
"American Indian or Alaska Native, non-Hispanic",1694
Other Race,11596
"White, non-Hispanic",23372
Unknown,34190
Hispanic or Latino,56909
