Category,Santa Cruz
Total_doses_administered,73886
Total_people_one_dose,40993
Total_people_complete,37020
Total_doses_ordered,49512
total_pouluation,53161
Male-65 years and older,3674
Male-55-64 years,2690
Male-45-54 years,3157
Male-20-44 years,8088
Male-Less than 20 years,2819
Female-65 years and older,4456
Female-55-64 years,2721
Female-45-54 years,2984
Female-20-44 years,7496
Female-Less than 20 years,2838
"American Indian or Alaska Native, non-Hispanic",18
"Black or African American, non-Hispanic",36
"Asian or Pacific Islander, non-Hispanic",101
Other Race,2079
Unknown,2392
"White, non-Hispanic",4948
Hispanic or Latino,31419
