Category,Yavapai
Total_doses_administered,199143
Total_people_one_dose,113610
Total_people_complete,95689
Total_doses_ordered,174846
total_pouluation,232386
Male-65 years and older,24616
Male-55-64 years,8815
Male-45-54 years,5215
Male-20-44 years,10359
Male-Less than 20 years,2248
Female-65 years and older,30684
Female-55-64 years,11237
Female-45-54 years,6087
Female-20-44 years,10533
Female-Less than 20 years,2502
"Black or African American, non-Hispanic",636
"American Indian or Alaska Native, non-Hispanic",1183
"Asian or Pacific Islander, non-Hispanic",1493
Hispanic or Latino,7379
Other Race,17469
Unknown,27836
"White, non-Hispanic",57614
