Category,Navajo
Total_doses_administered,81450
Total_people_one_dose,45776
Total_people_complete,38775
Total_doses_ordered,44540
total_pouluation,112825
Male-65 years and older,7230
Male-55-64 years,3736
Male-45-54 years,2697
Male-20-44 years,5745
Male-Less than 20 years,3235
Female-65 years and older,7931
Female-55-64 years,4002
Female-45-54 years,2676
Female-20-44 years,5101
Female-Less than 20 years,3387
"Black or African American, non-Hispanic",237
"Asian or Pacific Islander, non-Hispanic",429
Hispanic or Latino,2392
Unknown,2465
Other Race,8599
"White, non-Hispanic",15511
"American Indian or Alaska Native, non-Hispanic",16143
