Category,Mohave
Total_doses_administered,166033
Total_people_one_dose,94432
Total_people_complete,79174
Total_doses_ordered,136460
total_pouluation,216985
Male-65 years and older,22291
Male-55-64 years,8820
Male-45-54 years,4640
Male-20-44 years,7917
Male-Less than 20 years,1534
Female-65 years and older,24829
Female-55-64 years,10241
Female-45-54 years,4949
Female-20-44 years,7392
Female-Less than 20 years,1654
"Black or African American, non-Hispanic",680
"American Indian or Alaska Native, non-Hispanic",987
"Asian or Pacific Islander, non-Hispanic",1366
Hispanic or Latino,6915
Unknown,16117
Other Race,16381
"White, non-Hispanic",51986
