Category,Arizona
Total_doses_administered,7679192
Total_people_complete,3693008
Total_doses_ordered,5410140
total_pouluation,7189020
Total_people_one_dose,4173902
Male-65 years and older,538156
Male-55-64 years,308816
Male-45-54 years,273883
Male-20-44 years,660533
Male-Less than 20 years,177393
Female-65 years and older,661903
Female-55-64 years,354713
Female-45-54 years,298522
Female-20-44 years,694874
Female-Less than 20 years,185413
"Black or African American, non-Hispanic",116574
"American Indian or Alaska Native, non-Hispanic",125721
"Asian or Pacific Islander, non-Hispanic",154248
Unknown,446804
Other Race,696908
Hispanic or Latino,721900
"White, non-Hispanic",1911747
