Category,La Paz
Total_doses_administered,18482
Total_people_one_dose,10198
Total_people_complete,9078
Total_doses_ordered,19400
total_pouluation,22085
Male-65 years and older,3204
Male-55-64 years,713
Male-45-54 years,353
Male-20-44 years,616
Male-Less than 20 years,195
Female-65 years and older,3099
Female-55-64 years,873
Female-45-54 years,374
Female-20-44 years,535
Female-Less than 20 years,210
"Black or African American, non-Hispanic",36
"Asian or Pacific Islander, non-Hispanic",78
"American Indian or Alaska Native, non-Hispanic",251
Other Race,1161
Hispanic or Latino,1166
Unknown,2722
"White, non-Hispanic",4784
