Category,Mohave
Total_doses_administered,186001
Total_people_one_dose,90512
Total_people_complete,76564
total_pouluation,90512
Male-65 years and older,21051
Male-55-64 years,8273
Male-45-54 years,4304
Male-20-44 years,7545
Male-Less than 20 years,1818
Female-65 years and older,23163
Female-55-64 years,9603
Female-45-54 years,4852
Female-20-44 years,7717
Female-Less than 20 years,2008
"Black or African American, non-Hispanic",617
"American Indian or Alaska Native, non-Hispanic",743
"Asian or Pacific Islander, non-Hispanic",1379
Hispanic or Latino,7220
Unknown,11581
Other Race,14432
"White, non-Hispanic",54540
