Category,Pinal
Total_doses_administered,519308
Total_people_one_dose,253066
Total_people_complete,220204
total_pouluation,253066
Male-65 years and older,37130
Male-55-64 years,18473
Male-45-54 years,16875
Male-20-44 years,38554
Male-Less than 20 years,12759
Female-65 years and older,42688
Female-55-64 years,20785
Female-45-54 years,17151
Female-20-44 years,35387
Female-Less than 20 years,12513
"Asian or Pacific Islander, non-Hispanic",5171
"Black or African American, non-Hispanic",9242
"American Indian or Alaska Native, non-Hispanic",9834
Unknown,30008
Other Race,31156
Hispanic or Latino,40926
"White, non-Hispanic",126729
