Category,Coconino
Total_doses_administered,205280
Total_people_one_dose,94954
Total_people_complete,81844
total_pouluation,94954
Male-65 years and older,9446
Male-55-64 years,6384
Male-45-54 years,5827
Male-20-44 years,17212
Male-Less than 20 years,6167
Female-65 years and older,10624
Female-55-64 years,7140
Female-45-54 years,5888
Female-20-44 years,19598
Female-Less than 20 years,6395
"Black or African American, non-Hispanic",786
"Asian or Pacific Islander, non-Hispanic",1642
Hispanic or Latino,7193
Other Race,8682
Unknown,12633
"American Indian or Alaska Native, non-Hispanic",22656
"White, non-Hispanic",41362
