Category,Santa Cruz
Total_doses_administered,109670
Total_people_one_dose,56604
Total_people_complete,44635
total_pouluation,56604
Male-65 years and older,4734
Male-55-64 years,3280
Male-45-54 years,3448
Male-20-44 years,9096
Male-Less than 20 years,6503
Female-65 years and older,5729
Female-55-64 years,3607
Female-45-54 years,3735
Female-20-44 years,9529
Female-Less than 20 years,6858
"American Indian or Alaska Native, non-Hispanic",57
"Black or African American, non-Hispanic",58
"Asian or Pacific Islander, non-Hispanic",186
Other Race,3531
Unknown,3882
"White, non-Hispanic",7583
Hispanic or Latino,41307
