Category,Navajo
Total_doses_administered,100037
Total_people_one_dose,49191
Total_people_complete,40529
total_pouluation,49191
Male-65 years and older,7347
Male-55-64 years,3583
Male-45-54 years,2717
Male-20-44 years,5818
Male-Less than 20 years,4384
Female-65 years and older,8274
Female-55-64 years,4114
Female-45-54 years,2718
Female-20-44 years,5702
Female-Less than 20 years,4498
"Black or African American, non-Hispanic",205
"Asian or Pacific Islander, non-Hispanic",360
Unknown,2322
Hispanic or Latino,2504
Other Race,6328
"White, non-Hispanic",16042
"American Indian or Alaska Native, non-Hispanic",21430
