Category,Maricopa
Total_doses_administered,5616284
Total_people_one_dose,2655367
Total_people_complete,2306606
total_pouluation,2655367
Male-65 years and older,286416
Male-55-64 years,189178
Male-45-54 years,183587
Male-20-44 years,439710
Male-Less than 20 years,149490
Female-65 years and older,357740
Female-55-64 years,212707
Female-45-54 years,198903
Female-20-44 years,470750
Female-Less than 20 years,152410
"American Indian or Alaska Native, non-Hispanic",51966
"Black or African American, non-Hispanic",102844
"Asian or Pacific Islander, non-Hispanic",134586
Unknown,178974
Other Race,428617
Hispanic or Latino,446896
"White, non-Hispanic",1311484
