Category,Arizona,Apache,Coconino,Cochise,Graham,Greenlee,Gila,La Paz,Maricopa,Mohave,Navajo,Pinal,Pima,Santa Cruz,Yavapai,Yuma
Total_doses_administered,9702893,61235,205280,164561,43751,9411,55926,18087,5616284,186001,100037,519308,1575607,109670,247438,314328
Total_people_complete,3942256,22705,81844,67079,18542,3779,22918,7539,2306606,76564,40529,220204,628496,44635,99082,127457
total_pouluation,7189020,29451,94954,81503,21110,4389,26107,8977,2655367,90512,49191,253066,731830,56604,117702,158223
Total_people_one_dose,4662671,29451,94954,81503,21110,4389,26107,8977,2655367,90512,49191,253066,731830,56604,117702,158223
Male-65 years and older,568798,2801,9446,11294,2407,516,5835,2428,286416,21051,7347,37130,92111,4734,25974,16800
Male-55-64 years,330841,2041,6384,5565,1586,370,2229,617,189178,8273,3583,18473,48401,3280,9220,10550
Male-45-54 years,298500,1633,5827,4349,1447,328,1261,326,183587,4304,2717,16875,41678,3448,5080,9254
Male-20-44 years,741795,3892,17212,11681,3583,789,2409,681,439710,7545,5818,38554,111822,9096,10269,28201
Male-Less than 20 years,265856,4031,6167,5519,1147,227,716,369,149490,1818,4384,12759,44403,6503,2952,12467
Female-65 years and older,691551,3363,10624,13222,2914,517,6221,2448,357740,23163,8274,42688,118459,5729,31624,19356
Female-55-64 years,376191,2194,7140,6589,1725,319,2610,742,212707,9603,4114,20785,57902,3607,11652,11262
Female-45-54 years,321366,1602,5888,4888,1420,328,1399,374,198903,4852,2718,17151,47196,3735,6031,10179
Female-20-44 years,775348,3780,19598,12389,3624,760,2580,600,470750,7717,5702,35387,122909,9529,10534,26572
Female-Less than 20 years,272467,4106,6395,5906,1245,233,789,373,152410,2008,4498,12513,45478,6858,3215,12973
"Black or African American, non-Hispanic",140789,59,786,1588,93,53,90,39,102844,617,205,9242,16600,58,567,835
"Asian or Pacific Islander, non-Hispanic",178014,136,1642,1482,85,43,206,89,134586,1379,360,5171,22099,186,1445,1217
"American Indian or Alaska Native, non-Hispanic",200186,22763,22656,361,5203,122,2654,534,51966,743,21430,9834,15175,57,1433,1179
Unknown,426450,1119,12633,9651,4123,314,4589,1846,178974,11581,2322,30008,66190,3882,18881,29504
Other Race,667919,1146,8682,11936,1301,90,4168,1184,428617,14432,6328,31156,91398,3531,17283,19049
Hispanic or Latino,867772,570,7193,23273,3821,1981,1439,1344,446896,7220,2504,40926,178149,41307,8146,71591
"White, non-Hispanic",2181541,3658,41362,33212,6484,1786,12961,3941,1311484,54540,16042,126729,342219,7583,69947,34848
