Category,Santa Cruz
Total_doses_administered,61837
Total_people_one_dose,34113
Total_people_complete,30691
Total_doses_ordered,48042
total_pouluation,53161
Male-65 years and older,3503
Male-55-64 years,2476
Male-45-54 years,2802
Male-20-44 years,6383
Male-Less than 20 years,1868
Female-65 years and older,4224
Female-55-64 years,2529
Female-45-54 years,2665
Female-20-44 years,5709
Female-Less than 20 years,1886
"American Indian or Alaska Native, non-Hispanic",0.0004104007269956
"Black or African American, non-Hispanic",0.0006742297657784
"Asian or Pacific Islander, non-Hispanic",0.0026382903878287
Other Race,0.0491015155512561
Unknown,0.0556092985079002
"White, non-Hispanic",0.1332336645853487
Hispanic or Latino,0.7583326004748924
