,ARIZONA,STATE_PODS,APACHE,COCHISE,COCONINO,GILA,GRAHAM,GREENLEE,LA_PAZ,MARICOPA,MOHAVE,NAVAJO,PIMA,PINAL,SANTA_CRUZ,YAVAPAI,YUMA
Total_doses_administered,1857741,441707,8593,29022,53557,16973,6491,4906,5381,730115,32015,21405,274992,77788,13635,66974,44828
Total_people_one_dose,1241787,304539,5645,20217,38442,12830,4291,3235,4230,484862,22171,14933,183012,53509,9229,49218,31424
Total_people_complete,617250,153220,,,,,,,,,,,,,,,
Total_doses_ordered,1888380,517357,,,,,,,,,,,,,,,
65 years and older,377093,108364,,,,,,,,,,,,,,,
55-64 years,88942,16850,,,,,,,,,,,,,,,
45-54 years,79932,13756,,,,,,,,,,,,,,,
20-44 years,168707,28817,,,,,,,,,,,,,,,
Less than 20 years,5855,1052,,,,,,,,,,,,,,,
65 years and older,305343,93747,,,,,,,,,,,,,,,
55-64 years,56154,11062,,,,,,,,,,,,,,,
45-54 years,51466,9885,,,,,,,,,,,,,,,
20-44 years,101556,19098,,,,,,,,,,,,,,,
Less than 20 years,3661,643,,,,,,,,,,,,,,,
Native Hawaiian or Other Pacific Islander,2849,588,,,,,,,,,,,,,,,
Black or African American,19527,1431,,,,,,,,,,,,,,,
Asian,28145,4304,,,,,,,,,,,,,,,
American Indian or Alaska Native,36645,7789,,,,,,,,,,,,,,,
Hispanic or Latino,102641,12158,,,,,,,,,,,,,,,
Other Race/Unknown,442317,91685,,,,,,,,,,,,,,,
White,610694,186720,,,,,,,,,,,,,,,
