Category,Santa Cruz
Total_doses_administered,71339
Total_people_one_dose,40018
Total_people_complete,35624
Total_doses_ordered,49312
total_pouluation,53161
Male-65 years and older,3629
Male-55-64 years,2655
Male-45-54 years,3101
Male-20-44 years,7917
Male-Less than 20 years,2641
Female-65 years and older,4402
Female-55-64 years,2683
Female-45-54 years,2955
Female-20-44 years,7312
Female-Less than 20 years,2654
"American Indian or Alaska Native, non-Hispanic",18
"Black or African American, non-Hispanic",35
"Asian or Pacific Islander, non-Hispanic",98
Other Race,2046
Unknown,2347
"White, non-Hispanic",4858
Hispanic or Latino,30616
