Category,Gila
Total_doses_administered,53848
Total_people_one_dose,29621
Total_people_complete,26129
Total_doses_ordered,37770
total_pouluation,55159
Male-65 years and older,5931
Male-55-64 years,2663
Male-45-54 years,1646
Male-20-44 years,3267
Male-Less than 20 years,774
Female-65 years and older,6287
Female-55-64 years,2960
Female-45-54 years,1732
Female-20-44 years,3384
Female-Less than 20 years,915
"Black or African American, non-Hispanic",99
"Asian or Pacific Islander, non-Hispanic",261
Hispanic or Latino,1361
Other Race,4917
Unknown,5463
"American Indian or Alaska Native, non-Hispanic",6001
"White, non-Hispanic",11519
