Category,Coconino
Total_doses_administered,152502
Total_people_one_dose,83849
Total_people_complete,75265
Total_doses_ordered,97448
total_pouluation,147275
Male-65 years and older,7836
Male-55-64 years,6094
Male-45-54 years,5497
Male-20-44 years,16658
Male-Less than 20 years,3237
Female-65 years and older,8919
Female-55-64 years,6821
Female-45-54 years,5628
Female-20-44 years,19128
Female-Less than 20 years,3948
"Black or African American, non-Hispanic",616
"Asian or Pacific Islander, non-Hispanic",1265
Hispanic or Latino,5974
Other Race,9718
Unknown,17004
"American Indian or Alaska Native, non-Hispanic",17522
"White, non-Hispanic",31750
