Category,Yavapai
Total_doses_administered,192712
Total_people_one_dose,110510
Total_people_complete,92427
Total_doses_ordered,169890
total_pouluation,232386
Male-65 years and older,24157
Male-55-64 years,8624
Male-45-54 years,5054
Male-20-44 years,9863
Male-Less than 20 years,2102
Female-65 years and older,30149
Female-55-64 years,11013
Female-45-54 years,5887
Female-20-44 years,10016
Female-Less than 20 years,2333
"Black or African American, non-Hispanic",601
"American Indian or Alaska Native, non-Hispanic",1114
"Asian or Pacific Islander, non-Hispanic",1448
Hispanic or Latino,7009
Other Race,16972
Unknown,27522
"White, non-Hispanic",55844
