Category,Navajo
Total_doses_administered,77944
Total_people_one_dose,43955
Total_people_complete,37234
Total_doses_ordered,41810
total_pouluation,112825
Male-65 years and older,7000
Male-55-64 years,3636
Male-45-54 years,2573
Male-20-44 years,5416
Male-Less than 20 years,3100
Female-65 years and older,7683
Female-55-64 years,3896
Female-45-54 years,2597
Female-20-44 years,4794
Female-Less than 20 years,3226
"Black or African American, non-Hispanic",227
"Asian or Pacific Islander, non-Hispanic",420
Unknown,2231
Hispanic or Latino,2282
Other Race,8407
"White, non-Hispanic",14791
"American Indian or Alaska Native, non-Hispanic",15597
