Category,Graham
Total_doses_administered,22200
Total_people_one_dose,12479
Total_people_complete,10908
Total_doses_ordered,21150
total_pouluation,38476
Male-65 years and older,1676
Male-55-64 years,1014
Male-45-54 years,905
Male-20-44 years,2121
Male-Less than 20 years,436
Female-65 years and older,2114
Female-55-64 years,1167
Female-45-54 years,817
Female-20-44 years,1726
Female-Less than 20 years,492
"Asian or Pacific Islander, non-Hispanic",64
"Black or African American, non-Hispanic",74
Other Race,949
"American Indian or Alaska Native, non-Hispanic",1057
Hispanic or Latino,2052
Unknown,3961
"White, non-Hispanic",4322
