Category,Arizona
Total_doses_administered,7328696
Total_people_complete,3534417
Total_doses_ordered,5327230
total_pouluation,7189020
Total_people_one_dose,4021397
Male-65 years and older,522707
Male-55-64 years,301898
Male-45-54 years,264389
Male-20-44 years,628633
Male-Less than 20 years,166216
Female-65 years and older,644331
Female-55-64 years,347155
Female-45-54 years,289236
Female-20-44 years,662957
Female-Less than 20 years,174356
"Black or African American, non-Hispanic",110252
"American Indian or Alaska Native, non-Hispanic",119097
"Asian or Pacific Islander, non-Hispanic",150577
Unknown,432211
Other Race,677324
Hispanic or Latino,683436
"White, non-Hispanic",1848500
