Category,Apache
Total_doses_administered,33384
Total_people_one_dose,18747
Total_people_complete,12329
Total_doses_ordered,16700
total_pouluation,71808
Male-65 years and older,1959
Male-55-64 years,1304
Male-45-54 years,1032
Male-20-44 years,2504
Male-Less than 20 years,2515
Female-65 years and older,2066
Female-55-64 years,1435
Female-45-54 years,1023
Female-20-44 years,2300
Female-Less than 20 years,2599
"Asian or Pacific Islander, non-Hispanic",168
"Black or African American, non-Hispanic",287
Unknown,1004
Other Race,1270
Hispanic or Latino,1866
"White, non-Hispanic",3263
"American Indian or Alaska Native, non-Hispanic",10889
