Category,Santa Cruz
Total_doses_administered,84458
Total_people_one_dose,45715
Total_people_complete,41258
total_pouluation,45715
Male-65 years and older,4358
Male-55-64 years,3026
Male-45-54 years,3121
Male-20-44 years,8412
Male-Less than 20 years,3217
Female-65 years and older,5256
Female-55-64 years,3269
Female-45-54 years,3323
Female-20-44 years,8360
Female-Less than 20 years,3319
"Black or African American, non-Hispanic",46
"American Indian or Alaska Native, non-Hispanic",47
"Asian or Pacific Islander, non-Hispanic",167
Unknown,2845
Other Race,3120
"White, non-Hispanic",6679
Hispanic or Latino,32811
