Category,Yuma
Total_doses_administered,251970
Total_people_one_dose,135926
Total_people_complete,117667
total_pouluation,135926
Male-65 years and older,14676
Male-55-64 years,9595
Male-45-54 years,8570
Male-20-44 years,25302
Male-Less than 20 years,7883
Female-65 years and older,17199
Female-55-64 years,10271
Female-45-54 years,9463
Female-20-44 years,24093
Female-Less than 20 years,8423
"Black or African American, non-Hispanic",681
"American Indian or Alaska Native, non-Hispanic",1034
"Asian or Pacific Islander, non-Hispanic",1041
Other Race,14951
"White, non-Hispanic",27792
Unknown,30188
Hispanic or Latino,60239
