Category,Mohave
Total_doses_administered,151672
Total_people_one_dose,83068
Total_people_complete,70369
total_pouluation,83068
Male-65 years and older,19130
Male-55-64 years,7731
Male-45-54 years,3985
Male-20-44 years,6833
Male-Less than 20 years,1428
Female-65 years and older,21639
Female-55-64 years,9103
Female-45-54 years,4511
Female-20-44 years,6928
Female-Less than 20 years,1608
"Black or African American, non-Hispanic",515
"American Indian or Alaska Native, non-Hispanic",611
"Asian or Pacific Islander, non-Hispanic",1184
Hispanic or Latino,6360
Unknown,12965
Other Race,14949
"White, non-Hispanic",46484
