Category,Graham
Total_doses_administered,37202
Total_people_one_dose,19476
Total_people_complete,17288
total_pouluation,19476
Male-65 years and older,2319
Male-55-64 years,1529
Male-45-54 years,1376
Male-20-44 years,3336
Male-Less than 20 years,822
Female-65 years and older,2792
Female-55-64 years,1661
Female-45-54 years,1348
Female-20-44 years,3353
Female-Less than 20 years,928
"Black or African American, non-Hispanic",80
"Asian or Pacific Islander, non-Hispanic",90
Other Race,1531
Hispanic or Latino,3400
Unknown,4147
"American Indian or Alaska Native, non-Hispanic",4700
"White, non-Hispanic",5528
