Category,Maricopa
Total_doses_administered,4759010
Total_people_one_dose,2449911
Total_people_complete,2166142
total_pouluation,2449911
Male-65 years and older,272588
Male-55-64 years,180241
Male-45-54 years,173635
Male-20-44 years,409818
Male-Less than 20 years,110382
Female-65 years and older,341888
Female-55-64 years,203685
Female-45-54 years,189189
Female-20-44 years,439488
Female-Less than 20 years,114599
"American Indian or Alaska Native, non-Hispanic",44976
"Black or African American, non-Hispanic",88591
"Asian or Pacific Islander, non-Hispanic",117102
Unknown,186763
Hispanic or Latino,393902
Other Race,447147
"White, non-Hispanic",1171430
